c54bdfa2-72d7-4fb2-99ff-7978c5c6c7bc,2023-08-20 19:59:47.473119+02,../MusicLib/Drum & Bass/K Motionz - High Note.mp3,High Note,K Motionz,"",,Drum & Bass,3:46,F Minor,4A,174,64,98,54,32,3,0,52,22,Uploaded from Uploader.py
fa817630-f733-4579-a33c-c1b68afbce7b,2023-08-20 20:00:24.162945+02,../MusicLib/Drum & Bass/Kanine - The Shadows.mp3,The Shadows,Kanine,"",,Drum & Bass,4:25,A♭ Minor,1A,175,40,92,70,66,0,90,10,15,Dark Drum & Bass with deep baselines
cda6c52f-bf83-43bb-95ef-99422012929d,2023-08-20 20:00:42.182313+02,../MusicLib/Drum & Bass/Kanine - Want You.mp3,Want You,Kanine,"",,Drum & Bass,4:07,B♭ Minor,3A,175,56,98,55,6,0,10,11,9,Uploaded from Uploader.py
3280a45d-1163-4f42-892d-a456a41d2da9,2023-08-20 20:01:00.325811+02,../MusicLib/Drum & Bass/Macky Gee - Black Widow.mp3,Black Widow,Macky Gee,"",,Drum & Bass,4:29,F# Major,2B,88,56,96,91,97,5,29,7,5,Uploaded from Uploader.py
16980337-e988-4666-8408-2cd0c185195e,2023-08-20 20:01:18.006183+02,../MusicLib/Drum & Bass/Macky Gee - Tour.mp3,Tour,Macky Gee,"",,Drum & Bass,4:49,F Minor,4A,175,63,99,58,36,46,69,13,5,Uploaded from Uploader.py
8fd9341f-1b73-477f-bc16-62d74903c4bb,2023-08-20 20:01:35.721958+02,../MusicLib/Drum & Bass/Majistrate - Scorpions.mp3,Scorpions,Majistrate,"",,Drum & Bass,4:26,B Major,1B,175,20,98,63,20,0,90,3,6,Uploaded from Uploader.py
411f9994-fc01-48c5-8214-f3a9c31357fb,2023-08-20 20:01:53.518004+02,../MusicLib/Drum & Bass/Mat Zo - Reflections.mp3,Reflections,Mat Zo,"",,Drum & Bass,4:28,F# Major,2B,172,39,93,59,74,0,0,26,14,Uploaded from Uploader.py
851a5cac-ca09-4b8a-a888-989c2f4b6054,2023-08-20 20:02:11.633855+02,../MusicLib/Drum & Bass/Melfius & Camo & Krooked - Sientelo.mp3,Sientelo,Melfius & Camo & Krooked,"",,Drum & Bass,3:55,E Major,12B,83,65,36,53,45,48,25,9,2,Uploaded from Uploader.py
e9c87680-ab6f-4919-9713-7a750e3c815f,2023-08-20 20:02:50.855291+02,../MusicLib/Drum & Bass/Netsky - Come Alive.mp3,Come Alive,Netsky,"",,Drum & Bass,4:10,A Minor,8A,173,49,86,46,34,0,27,17,12,Uploaded from Uploader.py
d8603dfe-4b59-44c0-9db4-d20607ac83b3,2023-08-20 20:03:19.05949+02,../MusicLib/Drum & Bass/Netsky - Everyday.mp3,Everyday,Netsky,"",,Drum & Bass,4:12,D Major,10B,174,52,94,35,13,0,80,33,5,Uploaded from Uploader.py
